index,title,reviews,recommends(%),authors,publisher,price_n,price_r
"318","社会心理学（第11版）","236973","99.8","戴维・迈尔斯","人民邮电出版社","83.20","128.00"
"319","当世界年纪还小的时候","128510","99.6","舒比格","四川少儿出版社","14.00","28.00"
"320","半小时漫画论语（孔子原来这么爱吐槽！看孔子和弟子们卖萌吐槽，人生哲理全学到！混子哥陈磊新作！）","37747","100","陈磊・半小时漫画团队","文汇出版社","29.90","59.90"
"321","郑渊洁四大名传（全4册，含《罐头小人》电影情节）","270520","99.4","郑渊洁","浙江少年儿童出版社","52.20","116.00"
"322","我的野生动物朋友：精装珍藏版","141251","100","蒂皮・德格雷","接力出版社","80.00","108.00"
"323","养育男孩（典藏版）","568282","99.9","史蒂夫・比达尔夫","中信出版社","19.90","39.80"
"324","万历十五年 一本好书 腾讯视频栏目推荐","795072","99.4","黄仁宇","生活.读书.新知三联书店","19.50","26.00"
"325","小灵通漫游未来（收录《小灵通再游未来》《小灵通三游未来》，精美手绘插图）","44613","100","叶永烈","中译出版社（原中国对外翻译出版公司）","14.80","32.80"
"326","手不是用来打人的（儿童好品德系列，全5册）孩子多读就见效的习惯养成书，缓解新手爸妈育儿焦虑，王志庚、孙莉莉、朱爱朝推荐","417256","99.9","伊丽莎白・弗迪克","贵州教育出版社","49.50","99.00"
"327","长安客（张颂文推荐，大唐版《人类群星闪耀时》，李白、杜甫、王维、白居易、元稹、柳宗元、刘禹锡、李商隐，八位诗人的命运特写）","89347","100","北溟鱼","天津人民出版社","22.50","45.00"
"328","无人生还（精装纪念新版）","51402","100","阿加莎・克里斯蒂","新星出版社","36.70","49.00"
"329","不吼不叫：如何平静地让孩子与父母合作","403660","99.9","罗娜・雷纳","上海社会科学院出版社","16.40","32.80"
"330","当下的力量（珍藏版）","199248","99.9","埃克哈特.托利","中信出版社","24.00","32.00"
