index,title,reviews,recommends,authors,price_n,price_r
"152","少年读山海经（地理+神话+怪兽+奇闻+古文，套装 全3册 ）","7315条评论","100%推荐","刘兴诗","青岛出版社","50.00","100.00"
"153","心流：最优体验心理学","92726条评论","100%推荐","米哈里・契克森米哈赖","中信出版社","33.80","49.00"
"154","我们仨（新版）","1516552条评论","99.8%推荐","杨绛","生活.读书.新知三联书店","21.00","28.00"
"155","苏菲的世界（平装新版）八年级阅读乔斯坦贾德哲学入门书作家出版社","362770条评论","100%推荐","乔斯坦・贾德","作家出版社","28.50","38.00"
"156","北斗儿童房专用挂图墙贴：中国地图・世界地图（儿童绘图版2张）","28188条评论","100%推荐","北斗童书","山东省地图出版社","39.00","39.00"
"157","他和她的猫（随机发货，当当专享定制甜蜜3D变幻卡，“唧唧的猫”甜蜜电竞题材作品，随书赠送书签、明信片、一封寄给周荡的神秘来信及信封）","74564条评论","99.9%推荐","唧唧的猫","江苏凤凰文艺出版社","16.50","35.00"
"158","《去见年少的你》（原名重生之拯救大佬计划，校园X救赎X治愈，风靡全网的高口碑超千万点击之作！实力黑马作者钟仅高口碑成名代表作）（风炫出品）","3991条评论","99.9%推荐","钟仅","江苏凤凰文艺出版社","27.80","42.80"
"159","理想国（商务印书馆汉译名著权威全译本，精装典藏版）","71299条评论","99.9%推荐","柏拉图","商务印书馆","34.00","68.00"
"160","铃木绘本系列宫西达也低幼认知绘本 知道我吃什么了吗+转啊转+？？（套装全3册）","9181条评论","100%推荐","宫西达也","海豚出版社","22.50","45.00"
"161","时间管理：充分利用一年的8760个小时","7084条评论","100%推荐","王济帆","中国纺织出版社","40.70","42.80"
"162","高效能人士的七个习惯（30周年纪念版）（全新增订版）（新增《纽约时报》畅销肖恩・柯维全新观点,管理大师吉姆・柯林斯作序）","237842条评论","100%推荐","史蒂芬・柯维","中国青年出版社","46.60","79.00"
"163","绝叫（罗翔推荐，长达四十年的恶女编年史，日本文学社会派推理小说 同名日剧《绝叫》原著）","41540条评论","99.9%推荐","叶真中显","北京联合出版有限公司","29.00","58.00"
"164","小王子（绘本版）","30462条评论","100%推荐","安东尼・德・圣","北京出版社","26.10","58.00"
"165","长安客（张颂文推荐，大唐版《人类群星闪耀时》，李白、杜甫、王维、白居易、元稹、柳宗元、刘禹锡、李商隐，八位诗人的命运特写）","86668条评论","100%推荐","北溟鱼","天津人民出版社","22.50","45.00"
"166","如意蛋（典藏版）","11150条评论","99.3%推荐","大风刮过","江苏凤凰文艺出版社","45.00","45.00"
"167","在细雨中呼喊（余华活着许三观卖血记兄弟文城长篇代表作之一作家出版社）","125793条评论","100%推荐","余华","作家出版社","22.70","33.00"
