Egypt	Washwasha.org	Fatin Turismo Lautem || Lagoa Iralalaro Ho Nia Istoria	https://www.washwasha.org/upload/libfiles/0/0/940.html?video=sQVBwdVGn3w
Egypt	Washwasha.org	Courier Pilot Raider Vanity Shield Overview - Star Trek Online	https://www.washwasha.org/upload/libfiles/0/0/940.html?video=sL9TkP3TC70
Egypt	Youm7	???????? ???????? : ???????? 32 ?????????? ???????????? 2.1 ?????????? ????	https://www.youm7.com/story/2017/6/19/%D9%85%D9%87%D8%A7%D8%A8-%D9%85%D9%85%D9%8A%D8%B4-%D8%B9%D8%A8%D9%88%D8%B1-32-%D8%B3%D9%81%D9%8A%D9%86%D8%A9-%D8%A8%D8%AD%D9%85%D9%88%D9%84%D8%A9-2-1-%D9%85%D9%84%D9%8A%D9%88%D9%86-%D8%B7%D9%86/3290627
Eritrea	Dehai	Policy Brief	http://www.dehai.org/archives/dehai_news_archive/2016/jun/att-0978/China_faced_with_the_proliferation_of_the_terrorist_phenomenon_in_Africa.pdf
Eritrea	Dehai	Chinese Investments in Africa: “Chopsticks Mercantilism”	http://dehai.org/dehai/world-news/212829
Eritrea	Dehai	FEATURE-Piracy not only game in Indian Ocean naval build-up	http://www.dehai.org/archives/dehai_news_archive/jun-dec10/1116.html
Eritrea	Dehai	Basic -- TheGlobeAndMail.com: Djibouti's debt-defying stunt	http://dehai.org/dehai/basic/330469
Ethiopia	Capital	A trip of tradition, a commitment to cooperation	https://www.capitalethiopia.com/2022/01/17/a-trip-of-tradition-a-commitment-to-cooperation/
Ethiopia	EthiopiaNege	Chinese Investments in Africa: “Chopsticks Mercantilism”	https://ethiopianege.com/?p=3871
Ethiopia	EthiopianReporter_Englishedition	Chinese And African Civilizations Blossom Better In ...	https://www.thereporterethiopia.com/8064/
Ethiopia	EthiopianReporter_Englishedition	For Peace And Development In The Horn Of Africa	https://www.thereporterethiopia.com/23763/
Ethiopia	EthiopianReporter_Englishedition	Towards A Lasting Peace: China In Partnership With The ...	https://www.thereporterethiopia.com/24969/
Ethiopia	EthiopiaZare	Chinese Investments in Africa: “Chopsticks Mercantilism”	https://ethiopiazare.com/opinion/viewpoint/5554-chinese-investments-in-africa-chopsticks-mercantilism
Gambia	Standard	China Must Stop Terrorising Muslims	https://standard.gm/china-must-stop-terrorising-muslims/
Gambia	Standard	Africa Day Celebrated In Beijing	https://standard.gm/africa-day-celebrated-in-beijing/
Gambia	Standard	The Belt And Road Initiative: A Key Pillar Of The Global ...	https://standard.gm/the-belt-and-road-initiative-a-key-pillar-of-the-global-community-of-shared-future-part-1/
Ghana	BusinessGhana	Jumeirah: Dubai's Stunning Four Hotel Beach Resort ...	https://www.businessghana.com/site/news/business/266802/Jumeirah-Dubai-s-Stunning-Four-Hotel-Beach-Resort-Offers-Unirvalled-Benefits-for-Summer-Staycations
Ghana	Herald	Thank you Emeka And good afternoon to you all	https://theheraldghana.com/wp-content/uploads/2022/10/JM_Abuja-Forum-2022_Virtual-Forum-.pdf
Ghana	ModernGhana	Ancient India, West Africa & The Sea: Why It Could Not Be So	https://www.modernghana.com/news/829967/ancient-india-west-africa-the-sea-why-it-could-not-be-so.html
Ghana	ModernGhana	India, Africa, the Sea & Antiquity (Pt. 1)	https://www.modernghana.com/news/829964/india-africa-the-sea-antiquity-pt-1.html
Ghana	ModernGhana	Chinese Investments in Africa: “Chopsticks Mercantilism”	https://www.modernghana.com/news/806072/chinese-investments-in-africa-chopsticks-mercantilism.html
Ghana	ModernGhana	China president in Tanzania on start of African tour	https://www.modernghana.com/news/454570/china-president-in-tanzania-on-start-of-african-tour.html
Ghana	ModernGhana	The Great Rupture Explores Impact Of Information Age On ...	https://www.modernghana.com/news/1035409/the-great-rupture-explores-impact-of-information.html
Ghana	ModernGhana	Europe- Una Hysteria Importante - Part II	https://www.modernghana.com/news/1205515/europe-una-hysteria-importante-part.html
Ghana	ModernGhana	The Yorubas And The Sea: The Impossible Coast(s)?	https://www.modernghana.com/news/829962/the-yorubas-and-the-sea-the-impossible-coasts.html
Ghana	ModernGhana	Africans, Canoes & Navigation	https://www.modernghana.com/news/829968/africans-canoes-navigation-canoes-navigation-oliphant.html
Ghana	ModernGhana	Egypt And The Sea In Antiquity: From Beyond The Wdj-Wr	https://www.modernghana.com/news/829965/egypt-and-the-sea-in-antiquity-from-beyond-the-wdj-wr.html
Ghana	NewsGhana	China National Archives of Publications and Culture tells ...	https://newsghana.com.gh/china-national-archives-of-publications-and-culture-tells-stories-of-civilization-exchanges/
